"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"HNMT",20,8,100,128,15.625,28
"MED13L",17,3,70,90,18.8888888888889,20
"AC010883.5",16,1,66,83,19.2771084337349,17
"RNU2-38P",15,0,64,79,18.9873417721519,15
"ZFP36L2",15,0,49,64,23.4375,15
"PRKCH",13,0,52,65,20,13
"RNU6-958P",13,0,40,53,24.5283018867925,13
"ZNF697",13,0,51,64,20.3125,13
"ADAM30",12,0,50,62,19.3548387096774,12
"C9orf50",12,0,29,41,29.2682926829268,12
"HIST1H2AD",12,1,62,75,16,13
"HIST1H3D",12,1,62,75,16,13
"MIR148B",12,0,15,27,44.4444444444444,12
"NTMT1",12,0,29,41,29.2682926829268,12
"PHGDH",12,0,36,48,25,12
"PLEKHB2",12,2,87,101,11.8811881188119,14
"GPR84",11,0,19,30,36.6666666666667,11
"MARCH9",11,1,35,47,23.4042553191489,12
"ZNF385A",11,0,13,24,45.8333333333333,11
"ANKRD35",10,1,42,53,18.8679245283019,11
"CDK4",10,1,30,41,24.390243902439,11
"CHD1",10,10,116,136,7.35294117647059,20
"CTD-2007H13.3",10,10,109,129,7.75193798449612,20
"CXCR4",10,0,24,34,29.4117647058824,10
"DUSP5",10,5,105,120,8.33333333333333,15
"MIR620",10,2,21,33,30.3030303030303,12
"MSMO1",10,1,61,72,13.8888888888889,11
"RAPGEF2",10,2,35,47,21.2765957446809,12
"REG4",10,0,47,57,17.5438596491228,10
"RP11-135A1.2",10,1,55,66,15.1515151515152,11
"RP11-525A16.4",10,5,105,120,8.33333333333333,15
"SDE2",10,0,11,21,47.6190476190476,10
"TIMM10",10,1,43,54,18.5185185185185,11
"AC142528.1",9,2,72,83,10.8433734939759,11
"ACBD6",9,1,37,47,19.1489361702128,10
"ADI1",9,2,72,83,10.8433734939759,11
"AGAP2",9,1,28,38,23.6842105263158,10
"AL163636.6",9,0,42,51,17.6470588235294,9
"ANG",9,0,42,51,17.6470588235294,9
"BHLHE40",9,1,34,44,20.4545454545455,10
"BHLHE40-AS1",9,1,34,44,20.4545454545455,10
"BRSK1",9,0,33,42,21.4285714285714,9
"CTDSP2",9,2,27,38,23.6842105263158,11
"CYP27B1",9,1,30,40,22.5,10
"DHRS12",9,0,38,47,19.1489361702128,9
"DNAJB9",9,2,64,75,12,11
"ETS2",9,0,48,57,15.7894736842105,9
"HIST1H1B",9,1,59,69,13.0434782608696,10
"HIST1H4H",9,1,48,58,15.5172413793103,10
"HIST1H4K",9,0,54,63,14.2857142857143,9
"HMGCS1",9,1,43,53,16.9811320754717,10
"HMGCS2",9,0,37,46,19.5652173913043,9
"IFFO1",9,1,28,38,23.6842105263158,10
"MYL12B",9,2,54,65,13.8461538461538,11
"P2RX3",9,1,35,45,20,10
"PNPLA8",9,2,64,75,12,11
"PPID",9,4,61,74,12.1621621621622,13
"RHBDD2",9,0,52,61,14.7540983606557,9
"RNASE4",9,0,42,51,17.6470588235294,9
"RNU6-70P",9,1,23,33,27.2727272727273,10
"RP11-327P2.5",9,0,38,47,19.1489361702128,9
"RP11-620J15.1",9,1,19,29,31.0344827586207,10
"RP13-270P17.1",9,2,54,65,13.8461538461538,11
"SIRT5",9,0,33,42,21.4285714285714,9
"SLC25A3",9,5,71,85,10.5882352941176,14
"SSRP1",9,1,35,45,20,10
"THAP5",9,2,64,75,12,11
"TMPO",9,3,37,49,18.3673469387755,12
"TMPO-AS1",9,3,37,49,18.3673469387755,12
"TXNIP",9,1,34,44,20.4545454545455,10
"AC097721.2",8,7,42,57,14.0350877192982,15
"AF129408.17",8,0,17,25,32,8
"AGPAT5",8,0,65,73,10.958904109589,8
"AL583828.1",8,0,24,32,25,8
"APLF",8,1,42,51,15.6862745098039,9
"ARFGEF2",8,1,22,31,25.8064516129032,9
"ATP6V0A1",8,1,19,28,28.5714285714286,9
"AVIL",8,1,30,39,20.5128205128205,9
"BUB1B",8,0,23,31,25.8064516129032,8
"C4orf45",8,3,23,34,23.5294117647059,11
"CBX3",8,0,30,38,21.0526315789474,8
"CBX5",8,0,10,18,44.4444444444444,8
"CCNB1IP1",8,0,28,36,22.2222222222222,8
"CD47",8,4,70,82,9.75609756097561,12
"CHD4",8,1,27,36,22.2222222222222,9
"CMIP",8,0,53,61,13.1147540983607,8
"CMPK2",8,0,48,56,14.2857142857143,8
"CTD-2541M15.1",8,0,65,73,10.958904109589,8
"FBXO48",8,1,42,51,15.6862745098039,9
"GAPDH",8,1,31,40,20,9
"GFOD1",8,0,24,32,25,8
"GFOD1-AS1",8,0,24,32,25,8
"GNRHR2",8,1,34,43,18.6046511627907,9
"HAT1",8,0,2,10,80,8
"HES1",8,2,40,50,16,10
"HIF1A",8,0,52,60,13.3333333333333,8
"HIF1A-AS1",8,0,52,60,13.3333333333333,8
"HIST1H2AM",8,0,47,55,14.5454545454545,8
"HIST1H2APS4",8,1,44,53,15.0943396226415,9
"HIST1H2BI",8,1,44,53,15.0943396226415,9
"HIST1H3G",8,1,44,53,15.0943396226415,9
"HIST1H3J",8,0,47,55,14.5454545454545,8
"HIST1H4L",8,1,52,61,13.1147540983607,9
"HMGXB3",8,0,18,26,30.7692307692308,8
"HNRNPA1",8,0,10,18,44.4444444444444,8
"HNRNPA2B1",8,0,30,38,21.0526315789474,8
"HOXA-AS3",8,1,15,24,33.3333333333333,9
"IER5L",8,0,19,27,29.6296296296296,8
"ITGA5",8,0,11,19,42.1052631578947,8
"LBR",8,0,15,23,34.7826086956522,8
"LINC01011",8,1,25,34,23.5294117647059,9
"LSG1",8,0,37,45,17.7777777777778,8
"MIR130A",8,0,33,41,19.5121951219512,8
"NABP1",8,4,53,65,12.3076923076923,12
"NOP2",8,1,26,35,22.8571428571429,9
"NQO2",8,1,25,34,23.5294117647059,9
"PAK6",8,0,25,33,24.2424242424242,8
"PEX11B",8,1,39,48,16.6666666666667,9
"PLXND1",8,0,23,31,25.8064516129032,8
"PSMG1",8,0,17,25,32,8
"RNU6-1280P",8,3,60,71,11.2676056338028,11
"RNU6-433P",8,0,29,37,21.6216216216216,8
"RP11-133K1.2",8,0,22,30,26.6666666666667,8
"RP11-247A12.2",8,0,19,27,29.6296296296296,8
"RP11-247A12.8",8,0,19,27,29.6296296296296,8
"RP11-753H16.3",8,0,11,19,42.1052631578947,8
"RP11-872D17.8",8,1,48,57,14.0350877192982,9
"RP11-968A15.8",8,0,10,18,44.4444444444444,8
"RP5-940J5.3",8,1,31,40,20,9
"RSAD2",8,0,36,44,18.1818181818182,8
"RTN4",8,0,27,35,22.8571428571429,8
"SLC26A2",8,0,16,24,33.3333333333333,8
"SLC38A6",8,2,25,35,22.8571428571429,10
"SLC43A3",8,1,48,57,14.0350877192982,9
"SMUG1",8,0,21,29,27.5862068965517,8
"SNX18",8,3,29,40,20,11
"SPOPL",8,7,42,57,14.0350877192982,15
"SRCAP",8,1,24,33,24.2424242424242,9
"TIGD6",8,0,18,26,30.7692307692308,8
"TRMT5",8,2,25,35,22.8571428571429,10
"ABCB10",7,2,22,31,22.5806451612903,9
"AC003104.1",7,1,18,26,26.9230769230769,8
"AC092669.1",7,0,18,25,28,7
"AC093415.2",7,0,14,21,33.3333333333333,7
"AKTIP",7,2,28,37,18.9189189189189,9
"ANKRD33B-AS1",7,0,40,47,14.8936170212766,7
"C10orf91",7,0,25,32,21.875,7
"C11orf31",7,0,24,31,22.5806451612903,7
"C6orf195",7,0,20,27,25.9259259259259,7
"C7orf65",7,0,60,67,10.4477611940298,7
"CCL24",7,0,36,43,16.2790697674419,7
"CCNH",7,0,13,20,35,7
"CHST11",7,2,34,43,16.2790697674419,9
"CNP",7,1,32,40,17.5,8
"CTD-2186M15.3",7,0,29,36,19.4444444444444,7
"CTDSPL",7,0,14,21,33.3333333333333,7
"EFCAB14",7,1,20,28,25,8
"EPM2AIP1",7,3,29,39,17.9487179487179,10
"FAM114A2",7,0,23,30,23.3333333333333,7
"FAM168B",7,1,47,55,12.7272727272727,8
"FAM43A",7,1,44,52,13.4615384615385,8
"FBXO33",7,4,24,35,20,11
"FGGY",7,1,84,92,7.60869565217391,8
"GOLPH3",7,0,29,36,19.4444444444444,7
"GTF2A1",7,3,49,59,11.864406779661,10
"H3F3A",7,1,12,20,35,8
