Source.Name,Characteristics.organism.,Characteristics.cell.type.,Characteristics.cell.line.,Characteristics.medium.,Characteristics.genotype.,Characteristics.treatment.,Material.Type,Protocol.REF,Protocol.REF.1,Protocol.REF.2,Extract.Name,Protocol.REF.3,Labeled.Extract.Name,Label,Protocol.REF.4,Assay.Name,Technology.Type,Array.Design.REF,Term.Source.REF,Protocol.REF.5,Array.Data.File,Comment..ArrayExpress.FTP.file.,Factor.Value.phenotype.,Factor.Value.treatment.
1058_11-55-7_2HG_100_uM,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,WT,HG,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,1058_11-55-7 2HG 100 uM_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,1058_11-55-7 2HG 100 uM_(HuGene-2_0-st).CEL,NA,NA,NA
1059_5-55-4_octyl,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,WT,octyl,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,1059_5-55-4 octyl_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,1059_5-55-4 octyl_(HuGene-2_0-st).CEL,NA,NA,NA
1061_3-55-2_2HG_100_uM,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,WT,HG,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,1061_3-55-2 2HG 100 uM_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,1061_3-55-2 2HG 100 uM_(HuGene-2_0-st).CEL,NA,NA,NA
1062_1-55-2_octyl,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,WT,octyl,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,1062_1-55-2 octyl_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,1062_1-55-2 octyl_(HuGene-2_0-st).CEL,NA,NA,NA
1064_9-55-7_octyl,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,WT,octyl,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,1064_9-55-7 octyl_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,1064_9-55-7 octyl_(HuGene-2_0-st).CEL,NA,NA,NA
1066_7-55-4_2HG_100_uM,Homo sapiens,acute myeloid leukemia cell line,HL60,RPMI,WT,HG,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,1066_7-55-4 2HG 100 uM_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,1066_7-55-4 2HG 100 uM_(HuGene-2_0-st).CEL,NA,NA,NA
2127-MOLM14_R132_AGI5198_1,Homo sapiens,acute myeloid leukemia cell line,MOLM14,MEMalpha,Mut,AGI5198,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2127-MOLM14 R132 AGI5198 1_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2127-MOLM14 R132 AGI5198 1_(HuGene-2_0-st).CEL,NA,NA,NA
2128-56-5_#4_DMF,Homo sapiens,acute myeloid leukemia cell line,HL60,MEMalpha,Mut,DMF,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2128-56-5 #4 DMF_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2128-56-5 #4 DMF_(HuGene-2_0-st).CEL,NA,NA,NA
2129-MOLM14_R132_DMF_2,Homo sapiens,acute myeloid leukemia cell line,MOLM14,MEMalpha,Mut,DMF,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2129-MOLM14 R132 DMF 2_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2129-MOLM14 R132 DMF 2_(HuGene-2_0-st).CEL,NA,NA,NA
2130-56-11_#3_AGI5198,Homo sapiens,acute myeloid leukemia cell line,HL60,MEMalpha,Mut,AGI5198,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2130-56-11 #3 AGI5198_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2130-56-11 #3 AGI5198_(HuGene-2_0-st).CEL,NA,NA,NA
2131-MOLM14_R132_AGI5198_2,Homo sapiens,acute myeloid leukemia cell line,MOLM14,MEMalpha,Mut,AGI5198,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2131-MOLM14 R132 AGI5198 2_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2131-MOLM14 R132 AGI5198 2_(HuGene-2_0-st).CEL,NA,NA,NA
2132-MOLM14_R132_DMF_1,Homo sapiens,acute myeloid leukemia cell line,MOLM14,MEMalpha,Mut,DMF,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2132-MOLM14 R132 DMF 1_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2132-MOLM14 R132 DMF 1_(HuGene-2_0-st).CEL,NA,NA,NA
2133-56-11_#3_DMF,Homo sapiens,acute myeloid leukemia cell line,HL60,MEMalpha,Mut,DMF,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2133-56-11 #3 DMF_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2133-56-11 #3 DMF_(HuGene-2_0-st).CEL,NA,NA,NA
2134-56-5_#2_AGI5198,Homo sapiens,acute myeloid leukemia cell line,HL60,MEMalpha,Mut,AGI5198,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2134-56-5 #2 AGI5198_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2134-56-5 #2 AGI5198_(HuGene-2_0-st).CEL,NA,NA,NA
2135-56-5_#2_DMF,Homo sapiens,acute myeloid leukemia cell line,HL60,MEMalpha,Mut,DMF,cell,P-MTAB-48327,P-MTAB-48328,P-MTAB-48329,NA,NA,NA,Affymetrix genechip WT terminal labeling kit,NA,2135-56-5 #2 DMF_(HuGene-2_0-st),NA,NA,ArrayExpress,NA,2135-56-5 #2 DMF_(HuGene-2_0-st).CEL,NA,NA,NA
