"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1528","15","GO Process","","intracellular signal transduction","1.87E-9","SOX9|MKNK2|APOE|SESN2|EP300|FGF2|PMAIP1|CASP9|ATF4|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|AKT1","16949","367|226|543|342|1264|621|171|304|731|605|128|975|1085|225|650","9.02E-13","","GO.0035556","1.0","0"
"2486","17","GO Process","","regulation of cellular protein metabolic process","2.29E-9","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|MAPKAPK3|CHAC1|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|171|304|731|1426|128|975|1085|225|650","2.21E-12","","GO.0032268","0.989918391505213","0"
"1553","14","GO Process","","cellular response to stress","1.47E-8","EGLN3|APOE|SESN2|EP300|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|ERO1L|CHAC1|ERN1|PRMT1|AKT1","16949","697|543|342|1264|1120|171|304|731|1426|605|975|1085|225|650","2.83E-11","","GO.0033554","0.8974038178681202","0"
"1052","12","GO Process","","response to abiotic stimulus","4.8E-8","SOX9|EGLN3|EP300|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|PGF|AKT1","16949","367|697|1264|1120|171|304|731|442|1426|605|946|650","1.16E-10","","GO.0009628","0.8385226794354942","0"
"158","7","GO Process","","intrinsic apoptotic signaling pathway","8.79E-8","EP300|PMAIP1|CASP9|ATF4|ERO1L|CHAC1|ERN1","16949","1264|171|304|731|605|975|1085","2.79E-10","","GO.0097193","0.8084192342579919","0"
"4738","19","GO Process","","signal transduction","8.79E-8","SOX9|MKNK2|APOE|SESN2|GABBR2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|PGF|AKT1","16949","367|226|543|342|102|1264|621|1120|171|304|731|1426|605|128|975|1085|225|946|650","2.54E-10","","GO.0007165","0.8084192342579919","0"
"164","7","GO Process","","cellular response to oxygen levels","9.29E-8","EGLN3|EP300|PMAIP1|ATF4|FOXO1|ERO1L|AKT1","16949","697|1264|171|731|1426|605|650","3.58E-10","","GO.0071453","0.8056664383259357","0"
"295","8","GO Process","","apoptotic signaling pathway","1.18E-7","MKNK2|EP300|PMAIP1|CASP9|ATF4|ERO1L|CHAC1|ERN1","16949","226|1264|171|304|731|605|975|1085","5.11E-10","","GO.0097190","0.7937662998740178","0"
"4153","18","GO Process","","response to chemical","1.18E-7","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PGF|AKT1","16949","367|697|226|543|342|1264|621|1120|171|304|731|1426|605|128|975|1085|946|650","5.35E-10","","GO.0042221","0.7937662998740178","0"
"915","11","GO Process","","apoptotic process","1.18E-7","EGLN3|MKNK2|EP300|PMAIP1|CASP9|ATF4|FOXO1|ERO1L|CHAC1|ERN1|AKT1","16949","697|226|1264|171|304|731|1426|605|975|1085|650","5.67E-10","","GO.0006915","0.7937662998740178","0"
"321","8","GO Process","","response to oxygen levels","1.69E-7","EGLN3|EP300|PMAIP1|ATF4|FOXO1|ERO1L|PGF|AKT1","16949","697|1264|171|731|1426|605|946|650","9.79E-10","","GO.0070482","0.7758925755126016","0"
"1299","12","GO Process","","regulation of response to stress","1.9E-7","APOE|SESN2|EP300|FGF2|PMAIP1|CASP9|ATF4|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","543|342|1264|621|171|304|731|1426|128|1085|225|650","1.28E-9","","GO.0080134","0.7700646684048148","0"
"6212","20","GO Process","","cellular response to stimulus","2.1E-7","SOX9|EGLN3|MKNK2|APOE|SESN2|GABBR2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|PGF|AKT1","16949","367|697|226|543|342|102|1264|621|1120|171|304|731|1426|605|128|975|1085|225|946|650","1.62E-9","","GO.0051716","0.7650847297027809","0"
"530","9","UniProt Keywords","","Apoptosis","2.11E-7","EGLN3|MKNK2|PMAIP1|CASP9|FOXO1|ERO1L|CHAC1|ERN1|AKT1","16949","697|226|171|304|1426|605|975|1085|650","1.85E-9","","KW-0053","0.7648483498766174","0"
