"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_gene_id","entrezgene_id"
"1","ABCA10",-76.8105955883239,125.607480112487,-2.04720033448844,0.0459240744756773,0.624110217276032,-4.58035394403021,"ENSG00000154263",10349
"2","ABCA13",-13398.911580982,14664.2888269868,-2.03832311525773,0.0468368897360217,0.627589465975648,-4.58051228182247,"ENSG00000179869",154664
"3","ABCA7",-7073.21072243474,14606.3701655857,-3.18312507210301,0.00250943399411653,0.29304892221018,-4.55698858882964,"ENSG00000064687",10347
"4","ABCC6",-1094.0654606277,1322.84087408355,-2.74977755213383,0.00828488646102122,0.402956848949772,-4.56650901959509,"ENSG00000091262",368
"5","ABCC6",-1094.0654606277,1322.84087408355,-2.74977755213383,0.00828488646102122,0.402956848949772,-4.56650901959509,"ENSG00000275331",368
"6","ABHD11",-166.832270173354,423.655143944156,-2.53903028169739,0.014281803660399,0.464872467554451,-4.5709052441946,"ENSG00000106077",83451
"7","ABHD5",-2131.2174922423,4165.40890437133,-2.46839031971011,0.0170442115263123,0.485635350053803,-4.57233684095486,"ENSG00000011198",51099
"8","ABR",-3037.72777312088,10267.3585147215,-2.14773872487159,0.0366173680016846,0.614915204906649,-4.57852807870916,"ENSG00000278741",29
"9","ABR",-3037.72777312088,10267.3585147215,-2.14773872487159,0.0366173680016846,0.614915204906649,-4.57852807870916,"ENSG00000159842",29
"10","ABR",-3037.72777312088,10267.3585147215,-2.14773872487159,0.0366173680016846,0.614915204906649,-4.57852807870916,"ENSG00000276016",29
"11","ACTA1",-235.896321791391,213.765124608893,-2.2028124051549,0.0322565682633422,0.601524191295037,-4.57750326674015,"ENSG00000143632",58
"12","ACTG2",-14.7634761632459,4.70111419674784,-2.0204558356156,0.0487218958990512,0.634619015715469,-4.58082951920123,"ENSG00000163017",72
"13","ACTN1",-21926.8613022113,35188.9577466415,-3.47041968296512,0.0010814545704693,0.238771432916346,-4.55042052173337,"ENSG00000072110",87
"14","ACTN4",-22882.4959183162,103289.774995641,-2.35055884357967,0.0227408030818246,0.536838003661163,-4.57467299666456,"ENSG00000130402",81
"15","ACTN4",-22882.4959183162,103289.774995641,-2.35055884357967,0.0227408030818246,0.536838003661163,-4.57467299666456,"ENSG00000282844",81
"16","ACY3",-1379.82822883623,816.756919771931,-2.41194723831914,0.0195891568278142,0.51196512399713,-4.57346422885357,"ENSG00000132744",91703
"17","ADAD2",-5.1970637520928,2.11757626351842,-3.68865123732014,0.000557261832687247,0.193645548205649,-4.54534486814791,"ENSG00000140955",161931
"18","ADAM32",-220.751639777635,142.516546063543,-2.47577465376163,0.0167343540124777,0.483919507216761,-4.57218824662972,"ENSG00000197140",203102
"19","ADAM32",-220.751639777635,142.516546063543,-2.47577465376163,0.0167343540124777,0.483919507216761,-4.57218824662972,"ENSG00000275594",203102
"20","ADAMDEC1",-940.540409823617,273.012320176469,-2.24689741197097,0.0291029720241094,0.585271191509049,-4.57667086083344,"ENSG00000134028",27299
"21","ADAMTS20",-8.32747981025125,3.51789251785746,-3.30107412079794,0.0017842109270798,0.270810368581859,-4.55431131787117,"ENSG00000173157",80070
"22","ADCK5",-108.189665733073,453.716569422815,-2.28276595971918,0.0267420428923985,0.568622351089015,-4.57598589519914,"ENSG00000285451",203054
"23","ADCK5",-108.189665733073,453.716569422815,-2.28276595971918,0.0267420428923985,0.568622351089015,-4.57598589519914,"ENSG00000173137",203054
"24","ADCY1",-59.9256519806537,31.4305047870214,-3.68522329971185,0.000563178700892138,0.193645548205649,-4.54542500657077,"ENSG00000164742",107
"25","ADCY4",-569.116345287671,1150.12035781961,-2.61155995698795,0.0118747468026151,0.442700273967628,-4.5694126313369,"ENSG00000129467",196883
"26","ADCY4",-569.116345287671,1150.12035781961,-2.61155995698795,0.0118747468026151,0.442700273967628,-4.5694126313369,"ENSG00000284814",196883
"27","ADRA2B",-38.7116200519361,18.777547959456,-3.33154799718009,0.00163201556197157,0.266838640399898,-4.55361494523868,"ENSG00000274286",151
"28","AFF2",-11237.3506118201,9857.877161083,-2.84535795989496,0.00641960623108045,0.38601513875323,-4.56445946198992,"ENSG00000155966",2334
"29","AGPS",-5784.86599521976,15478.4334388949,-2.15809767508504,0.0357596289089524,0.614915204906649,-4.5783366213798,"ENSG00000018510",8540
"30","AGXT2",-3.59108593811974,1.15473512345016,-2.31299525984959,0.0248862487219064,0.557698954637414,-4.57540337774987,"ENSG00000113492",64902
"31","AIG1",-1084.43042684609,804.041338475182,-4.12666718608028,0.00013955081891218,0.175326654311895,-4.53504915437891,"ENSG00000146416",51390
"32","AJAP1",-9.01785730239292,3.56937591046239,-2.03710571720942,0.0469632891362271,0.627589465975648,-4.58053395864323,"ENSG00000196581",55966
"33","AK2",-8056.9868756513,25414.4540412101,-2.92713883434873,0.00514099917282509,0.364985467373983,-4.56268125548601,"ENSG00000004455",204
"34","ALAS1",-3905.79980956814,5580.93072246384,-3.64441699610306,0.000638405225098492,0.195328928331166,-4.54637810525831,"ENSG00000023330",211
"35","ALDH1L1",-3.55425515258813,2.95824942031264,-2.13914782505518,0.0373423535065859,0.614915204906649,-4.57868639489887,"ENSG00000144908",10840
"36","ALDH3A1",-13.160671723883,12.5719132229133,-2.4169241827905,0.0193517264781208,0.51196512399713,-4.57336542641532,"ENSG00000108602",218
"37","ALOX15",-311.257295635546,175.612230328519,-2.80500753202407,0.00715378025203389,0.391075842779068,-4.56532862662701,"ENSG00000161905",246
"38","ALPK3",-261.550470165789,171.874446413189,-3.83836338480034,0.000349820064182602,0.193645548205649,-4.54183566489508,"ENSG00000136383",57538
"39","AMELX",-3.11696091680656,1.50949127092221,-2.15279863316947,0.0361961681461634,0.614915204906649,-4.5784346360463,"ENSG00000125363",265
"40","AMPD3",-7946.7932094439,12036.4954464296,-2.47487033421079,0.016772024896316,0.483919507216761,-4.57220645765033,"ENSG00000133805",272
"41","ANK2",-68.8235945097002,61.7440370175097,-2.11242104049621,0.0396789039094525,0.615593462412343,-4.57917621415455,"ENSG00000145362",287
"42","ANKRD13D",-2807.95031611016,7506.73187811563,-2.79025196919199,0.00744111431316951,0.39233936228879,-4.56564505531004,"ENSG00000172932",338692
"43","ANKRD2",-3.75194029939359,3.09409154345776,-2.59595541114831,0.0123589358967038,0.444063340803169,-4.56973564297976,"ENSG00000165887",26287
"44","ANKRD22",-600.729195483099,437.695995145043,-2.65355146867006,0.0106566147011431,0.430701388718963,-4.56853844746311,"ENSG00000152766",118932
"45","ANKRD34B",-114.746328984637,68.9361015129427,-2.56635031452603,0.0133273521131809,0.457623822808627,-4.5703456508528,"ENSG00000189127",340120
"46","ANLN",-2461.22703788973,3245.45646507664,-2.60551056608668,0.0120603574287793,0.444063340803169,-4.56953797300431,"ENSG00000011426",54443
"47","ANO3",-5.52676497355687,1.86526958861649,-2.12037079526459,0.0389708982081576,0.615593462412343,-4.57903095083976,"ENSG00000134343",63982
"48","ANP32D",-8.26124147991884,8.0084356279859,-2.27089164630845,0.0275040593192701,0.574818237724866,-4.57621340788745,"ENSG00000139223",23519
"49","ANTXRL",-65.5928765807692,43.5789625130257,-2.58637306288645,0.0126651231447031,0.44806294743926,-4.56993349152179,"ENSG00000274209",195977
"50","ANXA10",-3.52659313405383,4.58790975846745,-2.04363694783972,0.0462886146998001,0.626431923023816,-4.58041755933243,"ENSG00000109511",11199
"51","ANXA11",-6228.66028096139,17083.7892615254,-3.26556373483827,0.00197850362075022,0.279601593316088,-4.55512046163886,"ENSG00000122359",311
"52","ANXA6",-15247.7828106282,42013.5853668498,-2.16920769731031,0.0348593676802253,0.608997680628597,-4.57813060745176,"ENSG00000197043",309
"53","AOX1",-966.927640961727,470.920935526846,-3.10984814617872,0.00309149352412001,0.304372921659095,-4.55863590665595,"ENSG00000138356",316
"54","AP1S3",-96.6323823299503,128.705764972574,-3.40738224742612,0.00130492216298678,0.245342946067393,-4.55187458340431,"ENSG00000152056",130340
"55","APAF1",-4933.79933985567,13216.1800453134,-2.30721438166514,0.0252319962423469,0.560010138823198,-4.57551514104001,"ENSG00000120868",317
"56","APBB2",-362.37231933071,257.998675597033,-2.56806393366155,0.0132694660833518,0.456706881163282,-4.57031044363294,"ENSG00000163697",323
"57","APCDD1L",-2.67008735752494,2.53420301480385,-2.84653241599274,0.00639932172906127,0.38601513875323,-4.56443408050688,"ENSG00000198768",164284
"58","APLP1",-15.6544522153906,24.9904067433734,-2.23204465657584,0.0301335306156774,0.59297033772765,-4.57695248652243,"ENSG00000105290",333
"59","APOBEC3B",-1224.32675267761,1604.98935069817,-2.62718538110243,0.0114073307707058,0.436920703914206,-4.56908817839023,"ENSG00000179750",9582
"60","AQP4",-14.7526724386472,5.39235517821589,-2.56850236819833,0.013254692600484,0.456706881163282,-4.57030143374117,"ENSG00000171885",361
"61","ARAP1",-8861.45650202199,25492.4822099416,-2.06164094990896,0.044472166982462,0.618805752697609,-4.5800953605013,"ENSG00000186635",116985
"62","ARAP3",-2169.56420229819,2685.21894565333,-2.44589229082269,0.0180204869955159,0.49452786901565,-4.57278800999146,"ENSG00000120318",64411
"63","ARFGEF1",-5923.14090436586,16505.4194818972,-2.64213927561442,0.0109758181616256,0.432809884321954,-4.56877673541613,"ENSG00000066777",10565
"64","ARHGAP33",-848.948885576305,1838.50660074775,-2.27347100348095,0.0273369113262053,0.573829913823705,-4.57616405032906,"ENSG00000004777",115703
